Reference, Quantity, Value, Footprint, Datasheet, Characteristics, Description, Manufacturer, Pricing
C1 C8 C36 C40 C46 C48 C49 ,7,"4,7uF","Resistors_SMD_Addons:R_0805_HandSolder","~"
C101 C42 C43 ,3,"4.7uF","Resistors_SMD_Addons:R_0805_HandSolder","~"
C102 ,1,"200pF","Resistors_SMD_Addons:R_0805_HandSolder","~"
C103 C38 C39 ,3,"2,2uF","Resistors_SMD_Addons:R_0805_HandSolder","~"
C13 ,1,"CP","Capacitors_SMD:C_1210","~"
C16 ,1,"100pF 60V","Capacitors_SMD:C_0805",""
C17 ,1,"1uF 0805ZC105KAT2A","Resistors_SMD_Addons:R_0805_HandSolder",""
C19 C18 ,2,"4.7uF GRM31CR71H47","Capacitors_SMD:C_1206",""
C21 ,1,"33uF","Capacitors_SMD:CP_Elec_6.3x7.7",""
C22 ,1,"10nF","Resistors_SMD_Addons:R_0805_HandSolder",""
C24 ,1,"1nF","Capacitors_SMD:C_0805",""
C3 C4 ,2,"22pF","Capacitors_SMD:C_0805","~"
C30 C5 C27 C28 C25 C29 C32 C2 C10 C9 C12 C15 C20 C23 C37 C41 C45 C44 C47 ,19,"100nF","Resistors_SMD_Addons:R_0603_HandSolder",""
C31 ,1,"10uF","Capacitors_SMD:C_0805",""
C33 C26 ,2,"1uF GRM219R71E105KA88D","Capacitors_SMD:C_0805",""
C34 C35 ,2,"220uF","Capacitors_SMD:CP_Elec_10x10.5","~"
C7 C6 C14 C11 ,4,"10uF","Resistors_SMD_Addons:R_0805_HandSolder",""
D1 ,1,"1N4148","Diodes_SMD_Addons:SOD-323-Handsoldering",""
D101 ,1,"MBR0520LT1G","Diodes_SMD:D_SOD-110","~"
D2 ,1,"BZG03C15TR","Diodes_SMD:D_SMA_Handsoldering",""
D3 ,1,"D_TVS","Diodes_SMD:D_SMB_Handsoldering",""
D4 D5 D6 ,3,"RED","LEDs:LED_0805_HandSoldering",""
D7 D11 D8 D9 D10 ,5,"D_TVS","Diodes_SMD:D_SMA","~"
FB1 FB2 FB3 FB4 FB6 FB5 FB7 FB8 FB9 ,9,"Ferrite_Bead","Resistors_SMD_Addons:R_0805_HandSolder","~"
H2 H1 ,2,"MountingHole_Pad","Mounting_Holes:MountingHole_3.2mm_M3_Pad","~"
J1 ,1,"Conn_01x05","Connect_Addons:Neutrik_NC5FAH","~"
J4 J3 J2 ,3,"Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~"
J5 ,1,"Conn_01x10","Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm","~"
J6 ,1,"Conn_01x24_Female","Connect_FFC_FPC:Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal","~"
J7 ,1,"NE8FBH-C5-LED1-S","SW-Neutrik:NE8FBH","http://www.neutrik.us/zoolu-website/media/download/13417/Drawing+NE8FBH-C5-LED1-S","Horizontal PCB mount RJ45 receptacle, CAT5e, shielded, two light pipes for SMD-LEDs, B-Series cutout with latch lock, max. panel thickness 3 mm","Horizontal PCB mount RJ45 receptacle, CAT5e, shielded, two light pipes for SMD-LEDs, B-Series cutout with latch lock, max. panel thickness 3 mm","Neutrik","0.00@0"
L1 ,1,"L","Resistors_SMD_Addons:R_0805_HandSolder","~"
L101 ,1,"10uH","Inductors:Inductor_Taiyo-Yuden_NR-40xx_HandSoldering","CBC2518T100M"
L2 ,1,"100uH","Choke_SMD_Addons:Choke_SMD_12x12mm_h8mm","~"
P2 ,1,"CONN_02X05","pin_header_1:Pin_Header_Straight_2x05_Pitch1.27mm",""
Q1 ,1,"Si4497DY","Housings_SOIC:SO-8_5.3x6.2mm_Pitch1.27mm","DOCUMENTATION"
R1 ,1,"270R","Resistors_SMD_Addons:R_0805_HandSolder",""
R10 ,1,"0.5R","Resistors_SMD_Addons:R_0805_HandSolder","~"
R101 ,1,"1M","Resistors_SMD_Addons:R_0805_HandSolder","~"
R102 ,1,"133k","Resistors_SMD_Addons:R_0805_HandSolder","~"
R103 ,1,"13.3k","Resistors_SMD_Addons:R_0805_HandSolder","~"
R11 ,1,"33R 0.5W","Resistors_SMD_Addons:R_0805_HandSolder",""
R16 R17 R14 R15 R24 R20 ,6,"R","Resistors_SMD_Addons:R_0805_HandSolder","~"
R18 ,1,"1R6","Resistors_SMD_Addons:R_0805_HandSolder","~"
R19 R25 ,2,"100K","Resistors_SMD_Addons:R_0805_HandSolder","~"
R2 ,1,"220R","Resistors_SMD_Addons:R_0805_HandSolder",""
R3 R5 ,2,"2K2","Resistors_SMD:R_0805_HandSoldering","~"
R31 R30 ,2,"10K","Resistors_SMD_Addons:R_0805_HandSolder","~"
R4 ,1,"10R","Resistors_SMD_Addons:R_0805_HandSolder",""
R6 R7 ,2,"10K","Resistors_SMD:R_0805_HandSoldering","~"
R8 ,1,"100K","Resistors_SMD_Addons:R_0603_HandSolder",""
